epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.26138,1.36428,4.6248,3.56716,1.5708,0.00667,0.5,0.00785,0.00078,0.00667,0.5,0.00785,0.00157,1.82714,2.83468,3.75938,1.57199,0,0,0
2,17.5481,2.11331,4.68347,4.03778,1.72177,0.00667,0.5,0.00813,0.00081,0.00667,0.5,0.00813,0.00163,1.82548,2.84498,3.75776,1.57103,1.802e-05,1.802e-05,1.802e-05
3,18.9865,2.60218,4.70653,4.35317,1.80342,0.00667,0.5,0.00526,0.00139,0.00667,0.5,0.00817,0.00206,1.82249,2.8637,3.75592,1.5693,3.208e-05,3.208e-05,3.208e-05
4,19.9191,2.10117,4.33761,3.84903,1.62491,0.00667,0.5,0.00524,0.00138,0.00667,0.5,0.00813,0.00205,1.82857,2.87868,3.75543,1.57193,4.218e-05,4.218e-05,4.218e-05
5,20.6986,1.78122,4.72472,3.50958,1.61193,0.00667,0.5,0.00839,0.00176,0.00667,0.5,0.00839,0.00214,1.78852,2.78974,3.73869,1.53731,4.832e-05,4.832e-05,4.832e-05
6,21.6384,1.6448,3.20277,3.54022,1.49414,0.01,0.75,0.01081,0.00229,0.01,0.75,0.01081,0.00262,1.77976,2.78978,3.67537,1.48462,5.05e-05,5.05e-05,5.05e-05
7,22.597,2.22697,3.16249,4.08359,1.91171,0.01,0.75,0.0117,0.00292,0.01,0.75,0.0117,0.00283,1.7227,2.77285,3.65476,1.43645,4.872e-05,4.872e-05,4.872e-05
8,23.4892,1.52257,3.50883,3.60316,1.45782,0.01,0.75,0.0127,0.00307,0.01,0.75,0.0127,0.00303,1.72159,2.76376,3.65526,1.43517,4.298e-05,4.298e-05,4.298e-05
9,24.4144,1.24822,1.97934,3.26795,1.16927,0.01,0.75,0.01319,0.003,0.01,0.75,0.01319,0.00362,1.62766,2.71133,3.62829,1.38534,3.328e-05,3.328e-05,3.328e-05
10,25.3589,1.08122,2.09833,3.2146,1.08955,0.01,0.75,0.01468,0.00327,0.01,0.75,0.01468,0.0037,1.60276,2.72442,3.58763,1.35585,1.962e-05,1.962e-05,1.962e-05
